Name,Category,Description,Address,Phone,Website
Wabash Valley Hospital,Mental Health,Inpatient and outpatient mental health services,"2900 N River Rd, West Lafayette",765-463-2555,http://www.wvhmhc.org/
Valley Oaks Health,Mental Health,"Mental health and addiction care, therapy, crisis intervention","610 Main St, Lafayette",765-446-6536,https://valleyoaks.org/tippecanoe-county/
Mental Health America of Tippecanoe County,Mental Health,"Crisis intervention, suicide prevention, referral services","913 Columbia St, Lafayette",765-742-1800,https://www.mhatippecanoe.org/
Cummins Behavioral Health Systems,Mental Health,Mental health and addiction services,"6655 E US Hwy 36, Avon",317-272-3330,https://www.cumminsbhs.org
Lafayette Housing Authority,Housing,Administers federal housing assistance programs,"2601 Greenbush St, Lafayette",765-771-1300,https://www.lafayette.in.gov/3542/Housing-Authority
LTHC Homeless Services,Housing,Coordinated point of entry for homelessness services,"815 N 12th St, Lafayette",765-423-4880,https://lthc.net/
Area IV Agency,Housing,Affordable housing projects and assistance programs,"660 N 36th St, Lafayette",765-447-7683,https://www.areaivagency.org/
Family Promise of Greater Lafayette,Housing,Shelter and support for homeless families,"2010 Elmwood Ave, Lafayette",765-838-3651,https://www.fpglinc.org/
Food Finders Food Bank,Food,Food pantry and distribution services,"2200 Elmwood Ave, Lafayette",765-471-0062,https://www.food-finders.org/
LUM Food Pantry,Food,Provides food assistance to families and individuals,"713 N 4th St, Lafayette",765-423-2691,https://www.lumserve.org/programs/food-programs/food-pantry/
Salvation Army of Tippecanoe County,Food,Food pantry and meal services,"1110 Union St, Lafayette",765-742-0006,https://centralusa.salvationarmy.org/lafayette/
Elmwood Church of Christ Food Pantry,Food,"Offers canned goods, hygiene items, and more","2501 Elmwood Ave, Lafayette",765-447-2874,https://elmwood-church.org/food-pantry/
